date,county,state,fips,cases,deaths,new_cases
2020-03-07,Santa Cruz,California,6087.0,1,0,1.0
2020-03-08,Santa Cruz,California,6087.0,1,0,0.0
2020-03-09,Santa Cruz,California,6087.0,2,0,1.0
2020-03-10,Santa Cruz,California,6087.0,2,0,0.0
2020-03-11,Santa Cruz,California,6087.0,2,0,0.0
2020-03-12,Santa Cruz,California,6087.0,2,0,0.0
2020-03-13,Santa Cruz,California,6087.0,2,0,0.0
2020-03-14,Santa Cruz,California,6087.0,2,0,0.0
2020-03-15,Santa Cruz,California,6087.0,2,0,0.0
2020-03-16,Santa Cruz,California,6087.0,2,0,0.0
2020-03-17,Santa Cruz,California,6087.0,2,0,0.0
2020-03-18,Santa Cruz,California,6087.0,2,0,0.0
2020-03-19,Santa Cruz,California,6087.0,2,0,0.0
2020-03-20,Santa Cruz,California,6087.0,15,0,13.0
2020-03-21,Santa Cruz,California,6087.0,15,0,0.0
2020-03-22,Santa Cruz,California,6087.0,15,0,0.0
2020-03-23,Santa Cruz,California,6087.0,22,0,7.0
2020-03-24,Santa Cruz,California,6087.0,24,0,2.0
2020-03-25,Santa Cruz,California,6087.0,25,0,1.0
2020-03-26,Santa Cruz,California,6087.0,32,0,7.0
2020-03-27,Santa Cruz,California,6087.0,34,0,2.0
2020-03-28,Santa Cruz,California,6087.0,39,0,5.0
2020-03-29,Santa Cruz,California,6087.0,44,1,5.0
2020-03-30,Santa Cruz,California,6087.0,45,1,1.0
2020-03-31,Santa Cruz,California,6087.0,49,1,4.0
2020-04-01,Santa Cruz,California,6087.0,54,1,5.0
2020-04-02,Santa Cruz,California,6087.0,57,1,3.0
2020-04-03,Santa Cruz,California,6087.0,59,1,2.0
2020-04-04,Santa Cruz,California,6087.0,62,1,3.0
2020-04-05,Santa Cruz,California,6087.0,69,1,7.0
2020-04-06,Santa Cruz,California,6087.0,71,1,2.0
2020-04-07,Santa Cruz,California,6087.0,76,1,5.0
2020-04-08,Santa Cruz,California,6087.0,76,1,0.0
2020-04-09,Santa Cruz,California,6087.0,80,1,4.0
2020-04-10,Santa Cruz,California,6087.0,80,1,0.0
2020-04-11,Santa Cruz,California,6087.0,82,1,2.0
2020-04-12,Santa Cruz,California,6087.0,88,1,6.0
2020-04-13,Santa Cruz,California,6087.0,91,1,3.0
2020-04-14,Santa Cruz,California,6087.0,91,1,0.0
2020-04-15,Santa Cruz,California,6087.0,96,2,5.0
2020-04-16,Santa Cruz,California,6087.0,96,2,0.0
2020-04-17,Santa Cruz,California,6087.0,98,2,2.0
2020-04-18,Santa Cruz,California,6087.0,101,2,3.0
2020-04-19,Santa Cruz,California,6087.0,104,2,3.0
2020-04-20,Santa Cruz,California,6087.0,106,2,2.0
2020-04-21,Santa Cruz,California,6087.0,108,2,2.0
2020-04-22,Santa Cruz,California,6087.0,111,2,3.0
2020-04-23,Santa Cruz,California,6087.0,114,2,3.0
2020-04-24,Santa Cruz,California,6087.0,115,2,1.0
2020-04-25,Santa Cruz,California,6087.0,115,2,0.0
2020-04-26,Santa Cruz,California,6087.0,120,2,5.0
2020-04-27,Santa Cruz,California,6087.0,124,2,4.0
2020-04-28,Santa Cruz,California,6087.0,125,2,1.0
2020-04-29,Santa Cruz,California,6087.0,127,2,2.0
2020-04-30,Santa Cruz,California,6087.0,131,2,4.0
2020-05-01,Santa Cruz,California,6087.0,132,2,1.0
2020-05-02,Santa Cruz,California,6087.0,134,2,2.0
2020-05-03,Santa Cruz,California,6087.0,137,2,3.0
2020-05-04,Santa Cruz,California,6087.0,137,2,0.0
2020-05-05,Santa Cruz,California,6087.0,138,2,1.0
2020-05-06,Santa Cruz,California,6087.0,138,2,0.0
2020-05-07,Santa Cruz,California,6087.0,139,2,1.0
2020-05-08,Santa Cruz,California,6087.0,140,2,1.0
2020-05-09,Santa Cruz,California,6087.0,141,2,1.0
2020-05-10,Santa Cruz,California,6087.0,141,2,0.0
2020-05-11,Santa Cruz,California,6087.0,141,2,0.0
2020-05-12,Santa Cruz,California,6087.0,146,2,5.0
2020-05-13,Santa Cruz,California,6087.0,146,2,0.0
2020-05-14,Santa Cruz,California,6087.0,149,3,3.0
2020-05-15,Santa Cruz,California,6087.0,149,2,0.0
2020-05-16,Santa Cruz,California,6087.0,149,3,0.0
2020-05-17,Santa Cruz,California,6087.0,154,3,5.0
2020-05-18,Santa Cruz,California,6087.0,163,3,9.0
2020-05-19,Santa Cruz,California,6087.0,165,3,2.0
2020-05-20,Santa Cruz,California,6087.0,168,3,3.0
2020-05-21,Santa Cruz,California,6087.0,174,3,6.0
2020-05-22,Santa Cruz,California,6087.0,186,3,12.0
2020-05-23,Santa Cruz,California,6087.0,192,3,6.0
2020-05-24,Santa Cruz,California,6087.0,192,3,0.0
2020-05-25,Santa Cruz,California,6087.0,200,3,8.0
2020-05-26,Santa Cruz,California,6087.0,200,3,0.0
2020-05-27,Santa Cruz,California,6087.0,205,3,5.0
2020-05-28,Santa Cruz,California,6087.0,205,3,0.0
2020-05-29,Santa Cruz,California,6087.0,205,3,0.0
2020-05-30,Santa Cruz,California,6087.0,212,3,7.0
2020-05-31,Santa Cruz,California,6087.0,212,3,0.0
2020-06-01,Santa Cruz,California,6087.0,217,3,5.0
2020-06-02,Santa Cruz,California,6087.0,217,3,0.0
