date,county,state,fips,cases,deaths,new_cases
2020-03-10,San Joaquin,California,6077.0,1,0,1.0
2020-03-11,San Joaquin,California,6077.0,1,0,0.0
2020-03-12,San Joaquin,California,6077.0,3,0,2.0
2020-03-13,San Joaquin,California,6077.0,8,0,5.0
2020-03-14,San Joaquin,California,6077.0,8,0,0.0
2020-03-15,San Joaquin,California,6077.0,8,0,0.0
2020-03-16,San Joaquin,California,6077.0,9,0,1.0
2020-03-17,San Joaquin,California,6077.0,13,0,4.0
2020-03-18,San Joaquin,California,6077.0,14,2,1.0
2020-03-19,San Joaquin,California,6077.0,17,2,3.0
2020-03-20,San Joaquin,California,6077.0,25,2,8.0
2020-03-21,San Joaquin,California,6077.0,31,2,6.0
2020-03-22,San Joaquin,California,6077.0,41,2,10.0
2020-03-23,San Joaquin,California,6077.0,51,2,10.0
2020-03-24,San Joaquin,California,6077.0,60,2,9.0
2020-03-25,San Joaquin,California,6077.0,71,3,11.0
2020-03-26,San Joaquin,California,6077.0,83,3,12.0
2020-03-27,San Joaquin,California,6077.0,93,4,10.0
2020-03-28,San Joaquin,California,6077.0,108,4,15.0
2020-03-29,San Joaquin,California,6077.0,121,5,13.0
2020-03-30,San Joaquin,California,6077.0,136,6,15.0
2020-03-31,San Joaquin,California,6077.0,151,8,15.0
2020-04-01,San Joaquin,California,6077.0,161,8,10.0
2020-04-02,San Joaquin,California,6077.0,178,10,17.0
2020-04-03,San Joaquin,California,6077.0,185,11,7.0
2020-04-04,San Joaquin,California,6077.0,191,11,6.0
2020-04-05,San Joaquin,California,6077.0,203,11,12.0
2020-04-06,San Joaquin,California,6077.0,212,11,9.0
2020-04-07,San Joaquin,California,6077.0,223,13,11.0
2020-04-08,San Joaquin,California,6077.0,237,14,14.0
2020-04-09,San Joaquin,California,6077.0,245,14,8.0
2020-04-10,San Joaquin,California,6077.0,257,14,12.0
2020-04-11,San Joaquin,California,6077.0,260,15,3.0
2020-04-12,San Joaquin,California,6077.0,273,16,13.0
2020-04-13,San Joaquin,California,6077.0,309,17,36.0
2020-04-14,San Joaquin,California,6077.0,335,17,26.0
2020-04-15,San Joaquin,California,6077.0,364,17,29.0
2020-04-16,San Joaquin,California,6077.0,369,17,5.0
2020-04-17,San Joaquin,California,6077.0,398,17,29.0
2020-04-18,San Joaquin,California,6077.0,410,17,12.0
2020-04-19,San Joaquin,California,6077.0,418,17,8.0
2020-04-20,San Joaquin,California,6077.0,446,18,28.0
2020-04-21,San Joaquin,California,6077.0,456,20,10.0
2020-04-22,San Joaquin,California,6077.0,472,20,16.0
2020-04-23,San Joaquin,California,6077.0,487,22,15.0
2020-04-24,San Joaquin,California,6077.0,495,24,8.0
2020-04-25,San Joaquin,California,6077.0,507,25,12.0
2020-04-26,San Joaquin,California,6077.0,523,25,16.0
2020-04-27,San Joaquin,California,6077.0,527,25,4.0
2020-04-28,San Joaquin,California,6077.0,529,25,2.0
2020-04-29,San Joaquin,California,6077.0,540,25,11.0
2020-04-30,San Joaquin,California,6077.0,543,25,3.0
2020-05-01,San Joaquin,California,6077.0,557,25,14.0
2020-05-02,San Joaquin,California,6077.0,560,25,3.0
2020-05-03,San Joaquin,California,6077.0,570,25,10.0
2020-05-04,San Joaquin,California,6077.0,574,26,4.0
2020-05-05,San Joaquin,California,6077.0,578,26,4.0
2020-05-06,San Joaquin,California,6077.0,579,27,1.0
2020-05-07,San Joaquin,California,6077.0,581,28,2.0
2020-05-08,San Joaquin,California,6077.0,597,28,16.0
2020-05-09,San Joaquin,California,6077.0,605,28,8.0
2020-05-10,San Joaquin,California,6077.0,612,29,7.0
2020-05-11,San Joaquin,California,6077.0,621,29,9.0
2020-05-12,San Joaquin,California,6077.0,629,30,8.0
2020-05-13,San Joaquin,California,6077.0,638,31,9.0
2020-05-14,San Joaquin,California,6077.0,644,31,6.0
